speaker_id,name,role,gender,party,faction,terms,utterance_count,category,score,word_count,top_words
友利光徳,友利 光徳,議員,男,無所属,無会派,"1,3,4,5",1280,行政・議会運営,0.967036,43,"政権,辞退,開示,公職,嘆願"
友利光徳,友利 光徳,議員,男,無所属,無会派,"1,3,4,5",1280,安全保障・基地問題,0.282634,13,"弾薬,戦争,射撃,火薬,軍事"
上地広敏,上地 廣敏,総務財政委員会委員長,男,無所属,絆,"3,4,5",3305,暮らし・福祉,0.367857,21,"社協,人権,難病,不妊,就農"
上地広敏,上地 廣敏,総務財政委員会委員長,男,無所属,絆,"3,4,5",3305,医療・健康,0.383836,23,"虐待,接種,難病,不妊,健診"
上地広敏,上地 廣敏,総務財政委員会委員長,男,無所属,絆,"3,4,5",3305,子ども・教育,0.336698,20,"学童,学級,文教,教職員,小児"
上地広敏,上地 廣敏,総務財政委員会委員長,男,無所属,絆,"3,4,5",3305,まちづくり・インフラ,0.6557,41,"灯油,用排水,浚渫,農道,工区"
上地広敏,上地 廣敏,総務財政委員会委員長,男,無所属,絆,"3,4,5",3305,農業・水産業,0.526747,29,"耳標,農振,肥育,漁協,圃場"
上地広敏,上地 廣敏,総務財政委員会委員長,男,無所属,絆,"3,4,5",3305,観光・産業,0.445863,29,"祝辞,叙勲,航路,売り払い,表彰"
上地広敏,上地 廣敏,総務財政委員会委員長,男,無所属,絆,"3,4,5",3305,環境・防災,0.697376,42,"軽石,噴火,噴出,防除,汚泥"
上地広敏,上地 廣敏,総務財政委員会委員長,男,無所属,絆,"3,4,5",3305,財政・税金,0.76052,51,"剰余,不納,滞納,随契,収穫"
上地広敏,上地 廣敏,総務財政委員会委員長,男,無所属,絆,"3,4,5",3305,行政・議会運営,1.219776,79,"陳情,表決,投票,議席,請願"
上地広敏,上地 廣敏,総務財政委員会委員長,男,無所属,絆,"3,4,5",3305,安全保障・基地問題,0.462895,27,"遺骨,誤発,海兵,有事,実弾"
國仲昌二,國仲 昌二,議員,男,無所属,市民フォーラムまてぃだ,"3,4,5,6",802,暮らし・福祉,0.22809,14,"人権,扶養,受給,年金,住居"
國仲昌二,國仲 昌二,議員,男,無所属,市民フォーラムまてぃだ,"3,4,5,6",802,医療・健康,0.082628,6,"感覚,患者,痛み,疾患,診療"
國仲昌二,國仲 昌二,議員,男,無所属,市民フォーラムまてぃだ,"3,4,5,6",802,子ども・教育,0.239221,14,"休園,教科,学術,学区,学力"
國仲昌二,國仲 昌二,議員,男,無所属,市民フォーラムまてぃだ,"3,4,5,6",802,まちづくり・インフラ,0.561474,26,"断水,約款,工区,埋め立て,水源"
國仲昌二,國仲 昌二,議員,男,無所属,市民フォーラムまてぃだ,"3,4,5,6",802,農業・水産業,0.174521,11,"漁港,牧場,養殖,食料,農漁業"
國仲昌二,國仲 昌二,議員,男,無所属,市民フォーラムまてぃだ,"3,4,5,6",802,観光・産業,0.299951,15,"売り払い,製造,飲食,表彰,球場"
國仲昌二,國仲 昌二,議員,男,無所属,市民フォーラムまてぃだ,"3,4,5,6",802,環境・防災,0.604921,31,"断水,充電,警報,警戒,暴風"
國仲昌二,國仲 昌二,議員,男,無所属,市民フォーラムまてぃだ,"3,4,5,6",802,財政・税金,0.69742,32,"追認,充当,公債,返済,落札"
國仲昌二,國仲 昌二,議員,男,無所属,市民フォーラムまてぃだ,"3,4,5,6",802,行政・議会運営,1.253315,58,"開示,投票,首長,得票,判決"
國仲昌二,國仲 昌二,議員,男,無所属,市民フォーラムまてぃだ,"3,4,5,6",802,安全保障・基地問題,0.674426,23,"火薬,弾薬,在沖,在日,海兵"
宮国高宣,宮国高宣,総務部長,,,,,707,暮らし・福祉,0.162239,8,"慰謝,弁償,休業,民泊,受給"
宮国高宣,宮国高宣,総務部長,,,,,707,医療・健康,0.045111,4,"接種,ｐｃｒ,健診,病気"
宮国高宣,宮国高宣,総務部長,,,,,707,子ども・教育,0.06104,6,"学力,園児,学区,教職員,文教"
宮国高宣,宮国高宣,総務部長,,,,,707,まちづくり・インフラ,0.400746,20,"約款,土砂,外構,工区,電源"
宮国高宣,宮国高宣,総務部長,,,,,707,農業・水産業,0.080376,5,"農漁業,農村,食料,農振,漁港"
宮国高宣,宮国高宣,総務部長,,,,,707,観光・産業,0.193745,10,"物産,旅費,物流,ｊｔａ,民泊"
宮国高宣,宮国高宣,総務部長,,,,,707,環境・防災,0.616964,23,"断層,防火,警戒,津波,暴風"
宮国高宣,宮国高宣,総務部長,,,,,707,財政・税金,1.193047,43,"公債,繰り上げ,金利,減給,償却"
宮国高宣,宮国高宣,総務部長,,,,,707,行政・議会運営,1.306176,50,"審理,任用,付則,投票,市税"
宮国高宣,宮国高宣,総務部長,,,,,707,安全保障・基地問題,0.283265,9,"火薬,射撃,弾薬,有事,殺傷"
平良敏夫,平良 敏夫,臨時議長,男,自由民主党,蒼和会,"3,4,5,6",2713,暮らし・福祉,0.301512,18,"人権,空き家,傍聴,年金,不妊"
平良敏夫,平良 敏夫,臨時議長,男,自由民主党,蒼和会,"3,4,5,6",2713,医療・健康,0.367008,20,"抗原,ｐｃｒ,虐待,健診,接種"
平良敏夫,平良 敏夫,臨時議長,男,自由民主党,蒼和会,"3,4,5,6",2713,子ども・教育,0.292127,19,"文教,学術,教職員,学園,学区"
平良敏夫,平良 敏夫,臨時議長,男,自由民主党,蒼和会,"3,4,5,6",2713,まちづくり・インフラ,0.555007,31,"浄水,ｄｘ,電柱,断水,用排水"
平良敏夫,平良 敏夫,臨時議長,男,自由民主党,蒼和会,"3,4,5,6",2713,農業・水産業,0.405837,23,"農振,漁港,養殖,山羊,圃場"
平良敏夫,平良 敏夫,臨時議長,男,自由民主党,蒼和会,"3,4,5,6",2713,観光・産業,0.435812,24,"祝辞,物価,球団,球場,叙勲"
平良敏夫,平良 敏夫,臨時議長,男,自由民主党,蒼和会,"3,4,5,6",2713,環境・防災,0.726122,39,"脱炭,防火,冠水,陥没,消火"
平良敏夫,平良 敏夫,臨時議長,男,自由民主党,蒼和会,"3,4,5,6",2713,財政・税金,0.477747,36,"剰余,買収,ｐｆｉ,繰り入れ,公債"
平良敏夫,平良 敏夫,臨時議長,男,自由民主党,蒼和会,"3,4,5,6",2713,行政・議会運営,1.08713,64,"請願,陳情,表決,動議,陳謝"
平良敏夫,平良 敏夫,臨時議長,男,自由民主党,蒼和会,"3,4,5,6",2713,安全保障・基地問題,0.436362,24,"遺骨,追悼,駐屯,有事,弾薬"
上里樹,上里 樹,文教社会委員会委員長,男,日本共産党,無会派,"1,2,3,4,5",1370,暮らし・福祉,0.29723,18,"尊厳,年金,傍聴,労務,人権"
上里樹,上里 樹,文教社会委員会委員長,男,日本共産党,無会派,"1,2,3,4,5",1370,医療・健康,0.211476,14,"ｐｃｒ,病気,療養,患者,診療"
上里樹,上里 樹,文教社会委員会委員長,男,日本共産党,無会派,"1,2,3,4,5",1370,子ども・教育,0.318669,18,"教科,入学,文教,教職員,卒業"
上里樹,上里 樹,文教社会委員会委員長,男,日本共産党,無会派,"1,2,3,4,5",1370,まちづくり・インフラ,0.489844,30,"転圧,工区,地盤,浄水,水源"
上里樹,上里 樹,文教社会委員会委員長,男,日本共産党,無会派,"1,2,3,4,5",1370,農業・水産業,0.159915,13,"牧場,漁港,農村,食材,肥料"
上里樹,上里 樹,文教社会委員会委員長,男,日本共産党,無会派,"1,2,3,4,5",1370,観光・産業,0.191463,16,"物価,旅費,朗読,物品,購買"
上里樹,上里 樹,文教社会委員会委員長,男,日本共産党,無会派,"1,2,3,4,5",1370,環境・防災,0.483697,34,"断層,崖下,消火,地震,土砂"
上里樹,上里 樹,文教社会委員会委員長,男,日本共産党,無会派,"1,2,3,4,5",1370,財政・税金,0.653366,41,"増税,分納,精算,減税,清算"
上里樹,上里 樹,文教社会委員会委員長,男,日本共産党,無会派,"1,2,3,4,5",1370,行政・議会運営,1.164455,70,"謝罪,開示,得票,審理,陳情"
上里樹,上里 樹,文教社会委員会委員長,男,日本共産党,無会派,"1,2,3,4,5",1370,安全保障・基地問題,0.592696,28,"弾薬,火薬,戦争,軍事,駐屯"
仲里タカ子,仲里 タカ子,議員,女,無所属,-,4,528,暮らし・福祉,0.406248,16,"社協,引っ越し,難病,年金,就農"
仲里タカ子,仲里 タカ子,議員,女,無所属,-,4,528,医療・健康,0.39319,15,"ｐｃｒ,疎通,難病,接種,患者"
仲里タカ子,仲里 タカ子,議員,女,無所属,-,4,528,子ども・教育,0.287176,13,"教科,休園,学力,文教,卒業"
仲里タカ子,仲里 タカ子,議員,女,無所属,-,4,528,まちづくり・インフラ,0.474533,18,"取水,水源,埋め立て,水質,浄化"
仲里タカ子,仲里 タカ子,議員,女,無所属,-,4,528,農業・水産業,0.145512,8,"栽培,食料,漁港,農村,食材"
仲里タカ子,仲里 タカ子,議員,女,無所属,-,4,528,観光・産業,0.148057,9,"飲食,物品,旅費,旅客,演奏"
仲里タカ子,仲里 タカ子,議員,女,無所属,-,4,528,環境・防災,0.493096,22,"断層,廃校,汚泥,汚染,雨漏り"
仲里タカ子,仲里 タカ子,議員,女,無所属,-,4,528,財政・税金,0.579272,27,"不納,滞納,公債,債権,収納"
仲里タカ子,仲里 タカ子,議員,女,無所属,-,4,528,行政・議会運営,0.735807,31,"投票,陳情,開示,任務,承諾"
仲里タカ子,仲里 タカ子,議員,女,無所属,-,4,528,安全保障・基地問題,0.530915,15,"弾薬,火薬,有事,駐屯,戦争"
友利毅彦,友利毅彦,事務局長,,,,,289,暮らし・福祉,0.369005,8,"難病,不妊,療養,空き家,人権"
友利毅彦,友利毅彦,事務局長,,,,,289,医療・健康,0.929599,15,"抗原,難病,患者,産後,接種"
友利毅彦,友利毅彦,事務局長,,,,,289,子ども・教育,0.075906,3,"小児,学年,文教"
友利毅彦,友利毅彦,事務局長,,,,,289,まちづくり・インフラ,0.166238,4,"ｌｅｄ,電力,電柱,幹線"
友利毅彦,友利毅彦,事務局長,,,,,289,農業・水産業,0,0,
友利毅彦,友利毅彦,事務局長,,,,,289,観光・産業,0.177061,6,"航路,表彰,飲食,音響,旅客"
友利毅彦,友利毅彦,事務局長,,,,,289,環境・防災,0.067007,3,"軽石,暴風,警報"
友利毅彦,友利毅彦,事務局長,,,,,289,財政・税金,0.270504,7,"損益,還付,財団,税制,補充"
友利毅彦,友利毅彦,事務局長,,,,,289,行政・議会運営,0.920951,25,"請願,陳情,会派,謄本,互選"
友利毅彦,友利毅彦,事務局長,,,,,289,安全保障・基地問題,0.040862,2,"領海,米軍"
平良和彦,平良 和彦,議長,男,無所属,蒼和会,"4,5,6",724,暮らし・福祉,0.216065,12,"就農,人権,空き家,住居,引っ越し"
平良和彦,平良 和彦,議長,男,無所属,蒼和会,"4,5,6",724,医療・健康,0.304466,12,"腎臓,内科,接種,ｐｃｒ,患者"
平良和彦,平良 和彦,議長,男,無所属,蒼和会,"4,5,6",724,子ども・教育,0.346166,16,"学区,文教,学術,学力,教職員"
平良和彦,平良 和彦,議長,男,無所属,蒼和会,"4,5,6",724,まちづくり・インフラ,0.492996,24,"用排水,再建,工務,ｌｅｄ,電力"
平良和彦,平良 和彦,議長,男,無所属,蒼和会,"4,5,6",724,農業・水産業,0.44555,18,"飼料,山羊,漁港,肥料,農振"
平良和彦,平良 和彦,議長,男,無所属,蒼和会,"4,5,6",724,観光・産業,0.379054,18,"物価,祝辞,叙勲,購買,旅客"
平良和彦,平良 和彦,議長,男,無所属,蒼和会,"4,5,6",724,環境・防災,0.544075,27,"軽石,大雨,冠水,漂着,雨水"
平良和彦,平良 和彦,議長,男,無所属,蒼和会,"4,5,6",724,財政・税金,0.378493,22,"補強,収穫,剰余,収納,補充"
平良和彦,平良 和彦,議長,男,無所属,蒼和会,"4,5,6",724,行政・議会運営,0.99358,47,"投票,陳情,当選,選任,行財政"
平良和彦,平良 和彦,議長,男,無所属,蒼和会,"4,5,6",724,安全保障・基地問題,0.290764,12,"有事,領海,領土,米軍,軍事"
砂川和也,砂川 和也,副議長,男,無所属,Next みやこ,"5,6",455,暮らし・福祉,0.247973,10,"移住,空き家,引っ越し,不妊,住居"
砂川和也,砂川 和也,副議長,男,無所属,Next みやこ,"5,6",455,医療・健康,0.116743,5,"不妊,感覚,認知,病気,療養"
砂川和也,砂川 和也,副議長,男,無所属,Next みやこ,"5,6",455,子ども・教育,0.155745,8,"教科,卒業,学年,講座,授業"
砂川和也,砂川 和也,副議長,男,無所属,Next みやこ,"5,6",455,まちづくり・インフラ,0.306974,11,"ｄｘ,ｌｅｄ,電力,農道,電源"
砂川和也,砂川 和也,副議長,男,無所属,Next みやこ,"5,6",455,農業・水産業,0.379404,11,"食肉,漁港,農村,山羊,圃場"
砂川和也,砂川 和也,副議長,男,無所属,Next みやこ,"5,6",455,観光・産業,0.133556,5,"飲食,物価,球場,工芸,ｊｔａ"
砂川和也,砂川 和也,副議長,男,無所属,Next みやこ,"5,6",455,環境・防災,0.516531,17,"軽石,省エネ,冠水,被災,除草"
砂川和也,砂川 和也,副議長,男,無所属,Next みやこ,"5,6",455,財政・税金,0.263559,12,"予備,黒字,ｐｆｉ,収納,補佐"
砂川和也,砂川 和也,副議長,男,無所属,Next みやこ,"5,6",455,行政・議会運営,0.354345,15,"投票,開示,開札,裁量,専任"
砂川和也,砂川 和也,副議長,男,無所属,Next みやこ,"5,6",455,安全保障・基地問題,0.035357,1,有事
下地信広,下地 信広,文教社会委員会委員長,男,無所属,宮古進政会,"4,5",890,暮らし・福祉,0.264279,12,"難病,受給,空き家,年金,休業"
下地信広,下地 信広,文教社会委員会委員長,男,無所属,宮古進政会,"4,5",890,医療・健康,0.520251,14,"腎臓,内科,認知,ｐｃｒ,患者"
下地信広,下地 信広,文教社会委員会委員長,男,無所属,宮古進政会,"4,5",890,子ども・教育,0.270002,12,"文教,卒業,教職員,学園,学力"
